return_id,order_id,return_date,return_reason
R0001,O00256,2026-08-19,Damaged Product
R0002,O00468,2026-08-19,Damaged Product
R0003,O00941,2026-08-19,Wrong Item
R0004,O00722,2026-08-19,Damaged Product
R0005,O00281,2026-08-19,Wrong Item
R0006,O00844,2026-08-19,Wrong Item
R0007,O00518,2026-08-19,Wrong Item
R0008,O00651,2026-08-19,Damaged Product
R0009,O00698,2026-08-19,Damaged Product
R0010,O00248,2026-08-19,Wrong Item
R0011,O00501,2026-08-19,Customer Return
R0012,O00457,2026-08-19,Damaged Product
R0013,O00984,2026-08-19,Wrong Item
R0014,O00601,2026-08-19,Customer Return
R0015,O00359,2026-08-19,Wrong Item
R0016,O00168,2026-08-19,Wrong Item
R0017,O00767,2026-08-19,Customer Return
R0018,O00093,2026-08-19,Wrong Item
R0019,O00029,2026-08-19,Wrong Item
R0020,O00051,2026-08-19,Damaged Product
R0021,O00875,2026-08-19,Customer Return
R0022,O00799,2026-08-19,Damaged Product
R0023,O00878,2026-08-19,Damaged Product
R0024,O00663,2026-08-19,Damaged Product
R0025,O00694,2026-08-19,Damaged Product
R0026,O00276,2026-08-19,Customer Return
R0027,O00420,2026-08-19,Customer Return
R0028,O00021,2026-08-19,Customer Return
R0029,O00010,2026-08-19,Wrong Item
R0030,O00934,2026-08-19,Damaged Product
R0031,O00663,2026-08-19,Damaged Product
R0032,O00616,2026-08-19,Damaged Product
R0033,O00230,2026-08-19,Wrong Item
R0034,O00623,2026-08-19,Wrong Item
R0035,O00730,2026-08-19,Customer Return
R0036,O00659,2026-08-19,Wrong Item
R0037,O00434,2026-08-19,Wrong Item
R0038,O00873,2026-08-19,Wrong Item
R0039,O00471,2026-08-19,Wrong Item
R0040,O00224,2026-08-19,Wrong Item
R0041,O00310,2026-08-19,Customer Return
R0042,O00534,2026-08-19,Customer Return
R0043,O00407,2026-08-19,Customer Return
R0044,O00105,2026-08-19,Damaged Product
R0045,O00524,2026-08-19,Customer Return
R0046,O00990,2026-08-19,Wrong Item
R0047,O00575,2026-08-19,Customer Return
R0048,O00609,2026-08-19,Customer Return
R0049,O00290,2026-08-19,Wrong Item
R0050,O00701,2026-08-19,Damaged Product
R0051,O00494,2026-08-19,Damaged Product
R0052,O00345,2026-08-19,Wrong Item
R0053,O00656,2026-08-19,Wrong Item
R0054,O00883,2026-08-19,Wrong Item
R0055,O00268,2026-08-19,Customer Return
R0056,O00729,2026-08-19,Customer Return
R0057,O00306,2026-08-19,Damaged Product
R0058,O00154,2026-08-19,Customer Return
R0059,O00784,2026-08-19,Damaged Product
R0060,O00922,2026-08-19,Damaged Product
R0061,O00825,2026-08-19,Customer Return
R0062,O00414,2026-08-19,Customer Return
R0063,O00328,2026-08-19,Customer Return
R0064,O00144,2026-08-19,Customer Return
R0065,O00027,2026-08-19,Customer Return
R0066,O00510,2026-08-19,Wrong Item
R0067,O00266,2026-08-19,Wrong Item
R0068,O00415,2026-08-19,Wrong Item
R0069,O00755,2026-08-19,Damaged Product
R0070,O00598,2026-08-19,Customer Return
R0071,O00586,2026-08-19,Damaged Product
R0072,O00352,2026-08-19,Customer Return
R0073,O00731,2026-08-19,Damaged Product
R0074,O00703,2026-08-19,Customer Return
R0075,O00654,2026-08-19,Wrong Item
R0076,O00929,2026-08-19,Customer Return
R0077,O00368,2026-08-19,Customer Return
R0078,O00308,2026-08-19,Damaged Product
R0079,O00861,2026-08-19,Customer Return
R0080,O00898,2026-08-19,Customer Return
R0081,O00186,2026-08-19,Wrong Item
R0082,O00100,2026-08-19,Wrong Item
R0083,O00132,2026-08-19,Customer Return
R0084,O00265,2026-08-19,Customer Return
R0085,O00828,2026-08-19,Customer Return
R0086,O00782,2026-08-19,Damaged Product
R0087,O00970,2026-08-19,Customer Return
R0088,O00922,2026-08-19,Wrong Item
R0089,O00671,2026-08-19,Damaged Product
R0090,O00228,2026-08-19,Wrong Item
R0091,O00229,2026-08-19,Customer Return
R0092,O00893,2026-08-19,Wrong Item
R0093,O00431,2026-08-19,Wrong Item
R0094,O00381,2026-08-19,Wrong Item
R0095,O00600,2026-08-19,Wrong Item
R0096,O00475,2026-08-19,Damaged Product
R0097,O00482,2026-08-19,Damaged Product
R0098,O00888,2026-08-19,Customer Return
R0099,O00598,2026-08-19,Customer Return
R0100,O00967,2026-08-19,Customer Return
