product_id,stock_quantity,last_updated
P001,82,2026-08-18
P002,493,2026-08-18
P003,920,2026-08-18
P004,209,2026-08-18
P005,522,2026-08-18
P006,132,2026-08-18
P007,898,2026-08-18
P008,707,2026-08-18
P009,400,2026-08-18
P010,552,2026-08-18
P011,315,2026-08-18
P012,433,2026-08-18
P013,65,2026-08-18
P014,901,2026-08-18
P015,884,2026-08-18
P016,164,2026-08-18
P017,150,2026-08-18
P018,215,2026-08-18
P019,360,2026-08-18
P020,429,2026-08-18
P021,593,2026-08-18
P022,924,2026-08-18
P023,938,2026-08-18
P024,478,2026-08-18
P025,156,2026-08-18
P026,333,2026-08-18
P027,893,2026-08-18
P028,742,2026-08-18
P029,194,2026-08-18
P030,807,2026-08-18
P031,92,2026-08-18
P032,509,2026-08-18
P033,350,2026-08-18
P034,656,2026-08-18
P035,191,2026-08-18
P036,330,2026-08-18
P037,659,2026-08-18
P038,69,2026-08-18
P039,14,2026-08-18
P040,472,2026-08-18
P041,290,2026-08-18
P042,224,2026-08-18
P043,789,2026-08-18
P044,802,2026-08-18
P045,182,2026-08-18
P046,600,2026-08-18
P047,792,2026-08-18
P048,172,2026-08-18
P049,511,2026-08-18
P050,814,2026-08-18
